DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF
0,519,43,0.08,0.11,12.33
0,519,12,0.02,0.04,4.39
0,519,78,0.15,0.14,29.35
0,519,14,0.03,0.08,5.43
1,519,116,0.22,0.13,38.25
0,519,78,0.15,0.13,28.4
1,190,96,0.51,0.2,18.18
0,190,51,0.27,0.11,8.47
0,190,37,0.19,0.19,7.09
1,190,48,0.25,0.18,6.32
1,190,27,0.14,0.05,7.09
1,190,38,0.2,0.14,8.43
1,190,36,0.19,0.07,6.97
0,190,69,0.36,0.14,13.37
0,190,51,0.27,0.18,10.67
0,190,87,0.46,0.18,25.37
0,190,57,0.3,0.13,12.31
0,190,48,0.25,0.2,7.95
1,190,54,0.28,0.2,13.22
1,190,69,0.36,0.17,16.92
0,190,43,0.23,0.16,10.19
0,190,30,0.16,0.05,6.68
0,190,82,0.43,0.19,15.6
0,190,48,0.25,0.11,10.45
0,190,36,0.19,0.18,5.69
0,190,25,0.13,0.09,7.7
0,190,25,0.13,0.12,6.39
0,190,78,0.41,0.14,19.63
0,190,54,0.28,0.21,11.26
0,190,52,0.27,0.15,10.67
0,190,51,0.27,0.15,11.21
0,190,39,0.21,0.19,6.13
1,190,45,0.24,0.12,8.06
1,190,27,0.14,0.06,5.18
1,190,93,0.49,0.33,21.3
0,190,62,0.33,0.2,15.38
0,190,33,0.17,0.16,8.66
1,190,98,0.52,0.37,23.9
0,117,37,0.32,0.13,3.3
1,117,134,1.15,0.31,17.09
1,117,80,0.68,0.34,7.41
1,117,48,0.41,0.11,4.22
0,117,75,0.64,0.19,6.21
1,117,30,0.26,0.09,2.71
0,117,40,0.34,0.15,7.44
0,117,25,0.21,0.11,2.79
1,117,85,0.73,0.34,10.59
0,117,41,0.35,0.1,3.99
0,117,89,0.76,0.23,8.43
0,117,86,0.74,0.31,8.62
0,117,38,0.32,0.15,4.62
0,117,91,0.78,0.29,9.35
1,117,78,0.67,0.22,7.46
1,117,11,0.09,0.04,1.65
0,445,42,0.09,0.05,13.42
1,445,99,0.22,0.1,26.09
1,445,50,0.11,0.06,12.72
1,445,39,0.09,0.06,8.91
1,445,36,0.08,0.06,7.87
0,445,110,0.25,0.1,29.31
0,445,84,0.19,0.09,22.05
1,445,48,0.11,0.08,12.07
0,445,74,0.17,0.11,23.52
0,445,106,0.24,0.13,35.35
0,445,36,0.08,0.04,10.37
0,445,76,0.17,0.15,20.16
1,445,73,0.16,0.1,20.35
0,445,46,0.1,0.08,13.16
0,445,44,0.1,0.11,11
1,445,38,0.09,0.11,8.04
1,445,38,0.09,0.06,8.85
1,445,99,0.22,0.23,23.4
1,445,92,0.21,0.14,23.48
1,445,162,0.36,0.36,40.93
0,445,96,0.22,0.15,27.03
0,445,82,0.18,0.13,24.59
1,445,38,0.09,0.04,9.83
0,445,104,0.23,0.07,30.55
1,445,55,0.12,0.05,14.49
0,445,97,0.22,0.09,27.22
0,445,35,0.08,0.08,8.85
0,445,33,0.07,0.04,7
0,445,173,0.39,0.2,44.12
0,445,70,0.16,0.09,15.57
0,445,75,0.17,0.05,18.06
1,445,35,0.08,0.07,6.32
1,445,142,0.32,0.17,35.96
1,445,120,0.27,0.14,33.68
0,445,50,0.11,0.04,13.86
0,445,70,0.16,0.13,16.66
0,445,50,0.11,0.04,14.04
0,445,118,0.27,0.17,29.77
0,445,46,0.1,0.11,9.6
0,445,50,0.11,0.14,7.98
1,445,46,0.1,0.04,12.31
1,445,155,0.35,0.18,40.02
1,445,94,0.21,0.11,26.05
1,445,60,0.13,0.1,17.34
1,445,58,0.13,0.12,12.81
0,445,141,0.32,0.16,37.12
0,445,63,0.14,0.06,17.38
0,445,32,0.07,0.04,8.91
0,445,67,0.15,0.04,16.85
0,445,32,0.07,0.08,8.77
0,445,69,0.16,0.08,20.23
0,445,61,0.14,0.08,16.49
0,277,26,0.09,0.04,6.36
1,277,53,0.19,0.13,16.79
1,277,36,0.13,0.07,13.54
0,277,34,0.12,0.14,14.48
0,277,60,0.22,0.09,16.85
1,277,43,0.16,0.09,12.17
0,277,37,0.13,0.12,10.36
0,277,27,0.1,0.1,5.21
1,277,86,0.31,0.22,25.46
1,277,42,0.15,0.06,13.42
0,277,36,0.13,0.07,11.4
1,277,92,0.33,0.16,24.75
1,277,171,0.62,0.28,40.3
1,277,35,0.13,0.15,5.48
1,277,41,0.15,0.09,12.28
0,277,27,0.1,0.08,8.45
1,277,185,0.67,0.44,48.7
0,277,33,0.12,0.07,6.68
0,277,33,0.12,0.14,8.72
0,277,38,0.14,0.13,14.65
0,277,102,0.37,0.19,27.53
0,277,45,0.16,0.07,11.15
0,277,32,0.12,0.08,9.49
0,277,57,0.21,0.11,14.28
0,277,100,0.36,0.21,25.23
1,277,106,0.38,0.19,31.75
0,277,47,0.17,0.13,11.13
0,277,77,0.28,0.16,16.28
0,277,52,0.19,0.16,12.25
0,277,160,0.58,0.21,43.05
1,277,68,0.25,0.16,18.97
1,277,33,0.12,0.08,8.04
1,277,27,0.1,0.07,8
0,277,96,0.35,0.19,23.44
0,277,127,0.46,0.2,30.22
0,277,68,0.25,0.14,20.92
0,277,50,0.18,0.08,17.99
0,277,49,0.18,0.09,11.4
0,277,62,0.22,0.11,16.98
0,277,147,0.53,0.28,39.47
1,260,92,0.35,0.15,9.66
1,260,31,0.12,0.11,1.7
1,260,67,0.26,0.12,8.03
1,260,142,0.55,0.18,21.12
0,260,38,0.15,0.07,5.66
0,260,165,0.63,0.32,21.22
1,260,125,0.48,0.16,17.06
1,260,100,0.38,0.12,17.31
0,260,148,0.57,0.27,20.22
0,260,32,0.12,0.04,5.21
0,260,72,0.28,0.04,10.33
0,260,27,0.1,0.06,3.53
0,260,58,0.22,0.14,7.12
0,260,49,0.19,0.15,3.71
0,260,98,0.38,0.19,9.69
0,260,44,0.17,0.12,7.01
